ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12592648,JF112975,01/14/2022 05:13:00 PM,061XX N WINTHROP AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,2433,24,48,77,08B,1167747,1940929,2022,01/03/2023 15:40,41.99345733,-87.65831807,"(41.993457327, -87.658318065)"
12587910,JF107516,01/08/2022 23:00,106XX S YATES AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,FALSE,FALSE,434,4,7,51,08A,1194343,1834983,2022,01/03/2023 15:40,41.70212112,-87.56398085,"(41.702121118, -87.563980845)"
12630084,JF159249,02/25/2022 10:30:00 PM,068XX S RIDGELAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,332,3,5,43,14,1189048,1859899,2022,01/03/2023 15:40,41.77062125,-87.58257344,"(41.770621253, -87.582573441)"
12585360,JF104414,01/04/2022 15:00,053XX S DREXEL AVE,890,THEFT,FROM BUILDING,OTHER (SPECIFY),FALSE,FALSE,233,2,5,41,6,1183145,1869969,2022,01/03/2023 15:40,41.79839359,-87.60389812,"(41.79839359, -87.603898124)"
12623659,JF151307,01/24/2022 08:00:00 AM,002XX W 87TH ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DEPARTMENT STORE,FALSE,FALSE,622,6,21,44,11,1176467,1847230,2022,01/03/2023 15:40,41.73614812,-87.62907024,"(41.736148121, -87.629070243)"
12604672,JF128057,01/28/2022 05:00:00 PM,012XX W LELAND AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,1913,19,46,3,08A,1167324,1931353,2022,01/03/2023 15:40,41.96718966,-87.66015085,"(41.967189655, -87.660150847)"
12586940,JF106306,01/07/2022 19:20,081XX S HARPER AVE,530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,FALSE,FALSE,411,4,8,45,04A,1187889,1851369,2022,01/03/2023 15:40,41.74724184,-87.58709305,"(41.747241844, -87.587093052)"
12585698,JF104743,01/05/2022 22:00,007XX E 131ST ST,810,THEFT,OVER $500,APARTMENT,FALSE,FALSE,533,5,9,54,6,1183487,1818546,2022,01/03/2023 15:40,41.65727496,-87.60424123,"(41.657274958, -87.604241228)"
12590895,JF110959,01/10/2022 16:30,028XX N CLARK ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,1934,19,44,6,7,1171379,1919175,2022,01/03/2023 15:40,41.93368442,-87.64560052,"(41.933684415, -87.645600515)"
12622164,JF149569,02/16/2022 06:00:00 PM,013XX W FLETCHER ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1933,19,32,6,6,1166925,1921034,2022,01/03/2023 15:40,41.93888248,-87.66191516,"(41.938882479, -87.661915164)"
12595831,JF117160,01/18/2022 07:35:00 AM,081XX S CLYDE AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,414,4,8,46,6,1191605,1851506,2022,01/03/2023 15:40,41.74752854,-87.57347239,"(41.747528541, -87.573472386)"
12593026,JF113415,01/15/2022 06:46:00 AM,043XX S LAKE PARK AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,222,2,4,39,08B,1184653,1876371,2022,01/03/2023 15:40,41.81592591,-87.59816724,"(41.815925906, -87.598167241)"
12620650,JF147632,02/16/2022 04:00:00 PM,021XX E 96TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,431,4,7,51,14,1191859,1841722,2022,01/03/2023 15:40,41.72067417,-87.57285845,"(41.720674172, -87.572858445)"
12609472,JF133736,02/02/2022 9:30,083XX S HAMILTON AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,FALSE,FALSE,614,6,18,71,11,1163482,1849258,2022,01/03/2023 15:40,41.741995,-87.67658611,"(41.741994997, -87.676586112)"
12614767,JF139808,02/09/2022 17:35,053XX S WOLCOTT AVE,810,THEFT,OVER $500,APARTMENT,FALSE,FALSE,932,9,16,61,6,1164589,1869372,2022,01/03/2023 15:40,41.79716729,-87.67196336,"(41.797167289, -87.671963363)"
12608189,JF132233,02/02/2022 20:31,013XX S SPRINGFIELD AVE,2027,NARCOTICS,POSSESS - CRACK,SIDEWALK,FALSE,FALSE,1011,10,24,29,18,1150594,1893492,2022,01/03/2023 15:40,41.8636398,-87.72265652,"(41.863639799, -87.722656518)"
12631552,JF158123,02/25/2022 11:59:00 AM,104XX S WENTWORTH AVE,430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,RESIDENCE,FALSE,FALSE,512,5,34,49,04B,1176803,1835516,2022,01/03/2023 15:40,41.70399578,-87.62819077,"(41.703995782, -87.628190772)"
12583319,JF101712,01/03/2022 0:30,112XX S NORMAL AVE,460,BATTERY,SIMPLE,RESIDENCE,FALSE,FALSE,2233,22,34,49,08B,1174972,1830308,2022,01/03/2023 15:40,41.6897452,-87.63505015,"(41.689745197, -87.635050152)"
12627265,JF155592,02/25/2022 03:46:00 AM,005XX W ELM ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,FALSE,TRUE,1823,18,27,8,08B,1172288,1907878,2022,01/03/2023 15:40,41.90266485,-87.64259439,"(41.902664851, -87.642594393)"
